pair_name,pair_symbol,pair_address,pair_decimal,asset_symbol,asset_address,asset_decimal,collateral_symbol,collateral_address,collateral_decimal
DAI/LINK,kmLINK/DAI-LINK,0x6292e1842bd14bacb55b40a18a0ff4f2e6641caf,18,DAI,0x8f3cf7ad23cd3cadbd9735aff958023239c6a063,18,LINK,0x53e0bca35ec356bd5dddfebbd1fc0fd03fabad39,18
LINK/SUSHI,kmSUSHI/LINK-LINK,0xe0827475a1e635654bba58ee252a85d00ecbc13e,18,LINK,0x53e0bca35ec356bd5dddfebbd1fc0fd03fabad39,18,SUSHI,0x0b3f868e0be5597d5db7feb59e1cadbb0fdda50a,18
DAI/AAVE,kmAAVE/DAI-LINK,0x99c0fbdf5b56bada277fbd407211c8add58c25e0,18,DAI,0x8f3cf7ad23cd3cadbd9735aff958023239c6a063,18,AAVE,0xd6df932a45c0f255f85145f286ea0b292b21c90b,18
DAI/USDT,kmUSDT/DAI-LINK,0xfe59fc69df196ab90d7179ad9b779f692136e591,18,DAI,0x8f3cf7ad23cd3cadbd9735aff958023239c6a063,18,USDT,0xc2132d05d31c914a87c6611c10748aeb04b58e8f,6
DAI/polyFXS,kmFXS/DAI-LINK,0x17bf6f578178cb2d48278943c8a23287303fef4d,18,DAI,0x8f3cf7ad23cd3cadbd9735aff958023239c6a063,18,polyFXS,0x3e121107f6f22da4911079845a470757af4e1a1b,18
DAI/SUSHI,kmSUSHI/DAI-LINK,0xa916dd0135f2299e1c34455fb984f00a44f70665,18,DAI,0x8f3cf7ad23cd3cadbd9735aff958023239c6a063,18,SUSHI,0x0b3f868e0be5597d5db7feb59e1cadbb0fdda50a,18
DAI/WMATIC,kmWMATIC/DAI-LINK,0x13fdda9d4a0f009e6795ed3e7b8d0974f7baaa6b,18,DAI,0x8f3cf7ad23cd3cadbd9735aff958023239c6a063,18,WMATIC,0x0d500b1d8e8ef31e21c99d1db9a6444d3adf1270,18
DAI/DAI,kmDAI/DAI-LINK,0x8f5d19ac648249fa11f1dac9988fa0f4110070dc,18,DAI,0x8f3cf7ad23cd3cadbd9735aff958023239c6a063,18,DAI,0x8f3cf7ad23cd3cadbd9735aff958023239c6a063,18
DAI/WBTC,kmWBTC/DAI-LINK,0x51a55abd0d979898a0be8911711eb4a8375da5b3,18,DAI,0x8f3cf7ad23cd3cadbd9735aff958023239c6a063,18,WBTC,0x1bfd67037b42cf73acf2047067bd4f2c47d9bfd6,8
LINK/UNI,kmUNI/LINK-LINK,0x3e77c6891e3dbb52586bfab14b87a1733f50b58e,18,LINK,0x53e0bca35ec356bd5dddfebbd1fc0fd03fabad39,18,UNI,0xb33eaad8d922b1083446dc23f610c2567fb5180f,18
LINK/AAVE,kmAAVE/LINK-LINK,0x8757df3db2e7419b81e5032f4e395e3782ec89fc,18,LINK,0x53e0bca35ec356bd5dddfebbd1fc0fd03fabad39,18,AAVE,0xd6df932a45c0f255f85145f286ea0b292b21c90b,18
LINK/USDT,kmUSDT/LINK-LINK,0x36423cc3a9c01d043551df5193ef11bbfac67916,18,LINK,0x53e0bca35ec356bd5dddfebbd1fc0fd03fabad39,18,USDT,0xc2132d05d31c914a87c6611c10748aeb04b58e8f,6
CEL/BOND,kmBOND/CEL-LINK,0xbb74fd9df154aa12279eef70a8b131a1cc338b16,4,CEL,0xd85d1e945766fea5eda9103f918bd915fbca63e6,4,BOND,0xa041544fe2be56cce31ebb69102b965e06aace80,18
