pair_address,pair_name,liquidity,tokens_0_name,tokens_0_address,tokens_1_name,tokens_1_address
0x2d8db3b54bc4c08b295816a30ad74b01109e4e9c,USDC-SWAM,18.15,USDC,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,SWAM,0x94c18174840f80d49d59dc3a1742af0b884a8184
0xb85faf3a22b21855ebd9be31eaf87f4d3673e354,SUSHI-gOHM,17.81,SUSHI,0x0b3f868e0be5597d5db7feb59e1cadbb0fdda50a,gOHM,0xd8ca34fd379d9ca3c6ee3b3905678320f5b45195
0x137d586759649fcac1f13698c6301a34f651935b,WETH-MM,17.70,WETH,0x7ceb23fd6bc0add59e62ac25578270cff1b9f619,MM,0xf6a09deadf5a10aa7822d95e3228b2315de8f6fa
0xce745542fd02c3463daaaa0e9cade68156b11eed,USDC-MORI,17.44,USDC,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,MORI,0x7ecb5699d8e0a6572e549dc86dde5a785b8c29bc
0xff56cb24f1a15c2f6b98726d68a1599e50423620,EBT-USDT,17.06,EBT,0x54f675ff38974c60e38c1122a8c74e34d2541bea,USDT,0xc2132d05d31c914a87c6611c10748aeb04b58e8f
0x770e952c6a2f2f7d1352670daf745b1e25341ea2,KLIMA-WETH,17.02,KLIMA,0x4e78011ce80ee02d2c3e649fb657e45898257815,WETH,0x7ceb23fd6bc0add59e62ac25578270cff1b9f619
0xdba7917a6b726fcb95200dac8235f73d499341a4,DAI-PULL,16.82,DAI,0x8f3cf7ad23cd3cadbd9735aff958023239c6a063,PULL,0xb44cf912e9d0341e92f64f4a0642393b7f3526c4
0x03e0f3f693fa52fabdbfa8c2e641d6395e96ec5b,AX-WETH,16.64,AX,0x5617604ba0a30e0ff1d2163ab94e50d8b6d0b0df,WETH,0x7ceb23fd6bc0add59e62ac25578270cff1b9f619
0x02b7b2f3344152c0dd0e60453b20962740661310,USDT-PHPX2,16.44,USDT,0xc2132d05d31c914a87c6611c10748aeb04b58e8f,PHPX2,0xd6f00c26f81f7b9c79206b60767177ff185d6e23
0x5d8f1923643f822e2ce6634ad14f273276a78c30,USDC-ICP-20,15.48,USDC,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,ICP-20,0xd63568e4bcb3d32c928e243e2bdb9e272d748a06
0x7a7229ae55553648af8feb39faedd1ecc34e31d9,USDC-MYTE,15.47,USDC,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,MYTE,0xe4db44bae1391f0ae45cfa35abef62941b343e77
0xaf1903678d352d7997f8487909f07b1c49d4af44,USDC-IXT,14.46,USDC,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,IXT,0xe06bd4f5aac8d0aa337d13ec88db6defc6eaeefe
0xc957a20b3d9580ead5a08df1dc25802122027ef1,WBTC-KLIMA,14.33,WBTC,0x1bfd67037b42cf73acf2047067bd4f2c47d9bfd6,KLIMA,0x4e78011ce80ee02d2c3e649fb657e45898257815
0xcb09a616723b2317dedd03f2eccb7398b76bbc9f,PUSD-USDT,14.06,PUSD,0x9af3b7dc29d3c4b1a5731408b6a9656fa7ac3b72,USDT,0xc2132d05d31c914a87c6611c10748aeb04b58e8f
0x2b81d1440c1a645e756fd9da54e923f22ea31d2a,USDC-PEP,13.96,USDC,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,PEP,0x9c31536c150a81885ecc69d53a53aef371d30bc8
